,race_name,driverRef,driverst_points,driverst_position,driverst_wins,css_points,css_position,css_wins,constructorRef,result_grid,q1,q2,q3,driver_circuit_avg_result_point_before_race,driver_circuit_avg_pitstops_before_race,driver_avg_finish_pos_prior,is_podium,driver_podium_rate_prior,driver_avg_finish_last_3,driver_experience_races,driver_experience_at_circuit,constructor_avg_finish_prior,is_home_gp,avg_temp,avg_windspeed,avg_precip,avg_humidity
0,Bahrain Grand Prix,hamilton,15.0,3,0,27.0,2,0,mercedes,5,92.285,91.048,91.238,2.5,2.4166666666666665,2.0,1,1.0,2.0,21,1,2.761904761904762,0,26.3,25.55,0.0,20.5
1,Bahrain Grand Prix,alonso,2.0,9,0,8.0,5,0,alpine,8,92.346,91.621,92.195,7.5,2.75,10.0,0,0.0,10.0,20,0,9.05,0,26.3,25.55,0.0,20.5
2,Bahrain Grand Prix,hulkenberg,0.0,17,0,0.0,7,0,aston_martin,17,92.777,92.777,92.777,16.5,3.0,9.083404998214196,0,0.17608892272625773,9.253604749787955,0,0,9.225,0,26.3,25.55,0.0,20.5
3,Bahrain Grand Prix,perez,0.0,18,0,0.0,10,0,red_bull,4,92.311,91.008,90.92099999999999,9.916666666666668,2.833333333333333,11.0,0,0.0,11.0,20,1,6.6,0,26.3,25.55,0.0,20.5
4,Bahrain Grand Prix,ricciardo,0.0,14,0,0.0,9,0,mclaren,18,92.945,92.945,92.945,10.5,2.5,6.0,0,0.0,6.0,21,1,8.095238095238095,0,26.3,25.55,0.0,20.5
5,Bahrain Grand Prix,bottas,8.0,6,0,9.0,4,0,alfa,6,91.919,91.717,91.56,5.083333333333334,2.833333333333333,9.083404998214196,0,0.17608892272625773,9.253604749787955,18,1,12.7,0,26.3,25.55,0.0,20.5
6,Bahrain Grand Prix,kevin_magnussen,10.0,5,0,10.0,3,0,haas,7,91.955,91.461,91.80799999999999,7.0,3.0,9.083404998214196,0,0.17608892272625773,9.253604749787955,0,0,12.476190476190476,0,26.3,25.55,0.0,20.5
7,Bahrain Grand Prix,max_verstappen,0.0,19,0,0.0,10,0,red_bull,2,91.785,90.757,90.681,8.916666666666666,2.4166666666666665,1.0,0,1.0,1.0,19,1,4.98989898989899,0,26.3,25.55,0.0,20.5
8,Bahrain Grand Prix,sainz,18.0,2,0,44.0,1,1,ferrari,3,91.56700000000001,90.787,90.687,4.833333333333334,2.4166666666666665,5.0,1,0.0,5.0,22,1,6.5,0,26.3,25.55,0.0,20.5
9,Bahrain Grand Prix,ocon,6.0,7,0,8.0,5,0,alpine,11,92.041,91.782,91.782,10.0,2.5,9.0,0,0.0,9.0,19,1,8.964285714285714,0,26.3,25.55,0.0,20.5
10,Bahrain Grand Prix,stroll,0.0,12,0,0.0,7,0,aston_martin,19,93.032,93.032,93.032,10.166666666666668,2.4166666666666665,8.0,0,0.0,8.0,19,1,9.623762376237623,0,26.3,25.55,0.0,20.5
11,Bahrain Grand Prix,leclerc,26.0,1,1,44.0,1,1,ferrari,1,91.471,90.932,90.55799999999999,3.5,2.5,4.0,1,0.0,4.0,20,1,5.616161616161616,0,26.3,25.55,0.0,20.5
12,Bahrain Grand Prix,norris,0.0,15,0,0.0,9,0,mclaren,13,92.239,92.00800000000001,92.00800000000001,10.75,3.083333333333333,3.0,0,1.0,3.0,21,1,8.688524590163935,0,26.3,25.55,0.0,20.5
13,Bahrain Grand Prix,russell,12.0,4,0,27.0,2,0,mercedes,9,92.269,91.252,92.21600000000001,8.666666666666668,2.4166666666666665,9.083404998214196,0,0.17608892272625773,9.253604749787955,17,1,4.784313725490196,0,26.3,25.55,0.0,20.5
14,Bahrain Grand Prix,albon,0.0,13,0,0.0,8,0,williams,14,92.726,92.664,92.664,12.25,3.0,9.083404998214196,0,0.17608892272625773,9.253604749787955,0,0,12.588235294117649,0,26.3,25.55,0.0,20.5
15,Bahrain Grand Prix,latifi,0.0,16,0,0.0,8,0,williams,20,93.634,93.634,93.634,0.0,0.0,9.083404998214196,0,0.17608892272625773,9.253604749787955,19,1,12.886363636363637,0,26.3,25.55,0.0,20.5
16,Bahrain Grand Prix,tsunoda,4.0,8,0,4.0,6,0,alphatauri,16,92.75,92.75,92.75,8.916666666666668,2.583333333333333,12.0,0,0.0,12.0,18,1,10.587301587301589,0,26.3,25.55,0.0,20.5
17,Bahrain Grand Prix,mick_schumacher,0.0,11,0,10.0,3,0,haas,12,92.38,91.998,91.998,0.0,0.0,16.0,0,0.0,16.0,18,1,14.157894736842104,0,26.3,25.55,0.0,20.5
18,Bahrain Grand Prix,zhou,1.0,10,0,9.0,4,0,alfa,15,92.493,93.543,93.543,11.5,3.0,9.083404998214196,0,0.17608892272625773,9.253604749787955,0,0,12.415584415584416,0,26.3,25.55,0.0,20.5
19,Saudi Arabian Grand Prix,hamilton,16.0,5,0,38.0,2,0,mercedes,15,90.343,90.343,90.343,1.0,3.0,2.772727272727273,0,0.8181818181818182,1.3333333333333333,22,1,2.772727272727273,0,28.65,23.7,0.0,39.0
20,Saudi Arabian Grand Prix,hulkenberg,0.0,17,0,0.0,9,0,aston_martin,17,90.543,90.543,90.543,12.0,1.0,17.0,0,0.0,17.0,1,0,9.320987654320987,0,28.65,23.7,0.0,39.0
21,Saudi Arabian Grand Prix,perez,12.0,7,0,37.0,3,1,red_bull,1,89.705,88.924,88.2,3.25,1.0,7.142857142857143,0,0.238095238095238,7.333333333333333,21,0,7.142857142857143,0,28.65,23.7,0.0,39.0
22,Saudi Arabian Grand Prix,kevin_magnussen,12.0,8,0,12.0,5,0,haas,10,89.831,89.54599999999999,89.588,9.25,1.0,5.0,0,0.0,5.0,1,0,12.30232558139535,0,28.65,23.7,0.0,39.0
23,Saudi Arabian Grand Prix,max_verstappen,25.0,3,1,37.0,3,1,red_bull,4,88.928,88.945,88.461,2.0,2.0,2.7,1,0.9,1.6666666666666667,20,1,5.13,0,28.65,23.7,0.0,39.0
24,Saudi Arabian Grand Prix,sainz,33.0,2,0,78.0,1,1,ferrari,3,88.855,88.686,88.402,8.0,2.0,6.304347826086956,1,0.217391304347826,5.666666666666667,23,1,6.304347826086956,0,28.65,23.7,0.0,39.0
25,Saudi Arabian Grand Prix,ocon,14.0,6,0,16.0,4,0,alpine,5,90.093,89.584,89.068,4.0,2.0,9.05,0,0.05,7.0,20,1,8.929824561403509,0,28.65,23.7,0.0,39.0
26,Saudi Arabian Grand Prix,stroll,0.0,16,0,0.0,9,0,aston_martin,13,90.256,91.009,91.009,11.0,3.0,10.85,0,0.0,12.666666666666666,20,1,9.647058823529411,0,28.65,23.7,0.0,39.0
