,race_name,driverRef,driverst_points,driverst_position,driverst_wins,css_points,css_position,css_wins,constructorRef,result_grid,q1,q2,q3,driver_circuit_avg_result_point_before_race,driver_circuit_avg_pitstops_before_race,driver_avg_finish_pos_prior,driver_podium_rate_prior,driver_avg_finish_last_3,driver_experience_races,driver_experience_at_circuit,constructor_avg_finish_prior,is_home_gp,avg_temp,avg_windspeed,avg_precip,avg_humidity
15,Bahrain Grand Prix,latifi,0.0,16,0,0.0,8,0,williams,20,93.634,93.634,93.634,0.0,0.0,9.083404998214196,0.1760889227262577,9.253604749787955,19,1,12.886363636363637,0,26.3,25.55,0.0,20.5
17,Bahrain Grand Prix,mick_schumacher,0.0,11,0,10.0,3,0,haas,12,92.38,91.998,91.998,0.0,0.0,16.0,0.0,16.0,18,1,14.157894736842104,0,26.3,25.55,0.0,20.5
26,Saudi Arabian Grand Prix,stroll,20.0,12,0,36.0,8,0,aston_martin,13,90.256,91.009,91.009,11.0,3.0,10.85,0.0,11.5,20,1,9.647058823529411,0,28.65,23.7,0.0,39.0
46,Australian Grand Prix,latifi,0.0,20,0,1.0,9,0,williams,18,81.372,81.372,81.372,0.0,0.0,15.15,0.0,15.0,20,0,12.92134831460674,0,17.1,15.05,0.0,85.0
48,Australian Grand Prix,mick_schumacher,0.0,17,0,12.0,7,0,haas,15,80.104,80.465,80.465,0.0,0.0,16.105263157894736,0.0,16.0,19,0,14.134328358208956,0,17.1,15.05,0.0,85.0
51,Emilia Romagna Grand Prix,vettel,4.0,14,0,5.0,9,0,aston_martin,13,80.364,79.957,91.062,15.0,5.0,11.052631578947368,0.0526315789473684,9.666666666666666,19,1,8.838709677419354,0,14.05,9.3,0.1,73.5
63,Emilia Romagna Grand Prix,albon,46.0,8,0,59.0,5,0,williams,18,,,,0.0,0.0,12.333333333333334,0.0,8.0,3,0,12.55,0,14.05,9.3,0.1,73.5
64,Emilia Romagna Grand Prix,latifi,0.0,21,0,1.0,10,0,williams,19,81.971,81.971,81.971,0.0,0.0,15.19047619047619,0.0,14.666666666666666,21,0,12.955555555555556,0,14.05,9.3,0.1,73.5
66,Emilia Romagna Grand Prix,mick_schumacher,0.0,19,0,15.0,8,0,haas,10,80.422,80.916,80.916,16.0,4.0,15.95,0.0,15.0,20,1,14.125925925925928,0,14.05,9.3,0.1,73.5
70,Miami Grand Prix,vettel,4.0,14,0,6.0,9,0,aston_martin,0,90.677,90.214,90.214,0.0,0.0,10.9,0.05,10.0,20,0,8.825396825396826,0,27.5,9.8,0.0,62.0
82,Miami Grand Prix,latifi,0.0,21,0,3.0,10,0,williams,19,91.325,91.325,91.325,0.0,0.0,15.227272727272728,0.0,14.666666666666666,22,0,12.989010989010987,0,27.5,9.8,0.0,62.0
84,Miami Grand Prix,mick_schumacher,0.0,19,0,15.0,8,0,haas,15,90.645,90.423,90.423,0.0,0.0,16.0,0.0,14.666666666666666,21,0,14.147058823529411,0,27.5,9.8,0.0,62.0
87,Spanish Grand Prix,vettel,4.0,14,0,6.0,9,0,aston_martin,16,80.95400000000001,80.95400000000001,80.95400000000001,13.0,2.0,11.19047619047619,0.0476190476190476,12.0,21,1,8.953125,0,34.150000000000006,18.65,0.0,19.0
100,Spanish Grand Prix,latifi,0.0,21,0,3.0,10,0,williams,19,81.91499999999999,81.91499999999999,81.91499999999999,16.0,3.0,15.173913043478262,0.0,15.333333333333334,23,1,13.0,0,34.150000000000006,18.65,0.0,19.0
102,Spanish Grand Prix,mick_schumacher,0.0,19,0,15.0,8,0,haas,10,80.68299999999999,80.436,80.368,18.0,2.0,15.954545454545457,0.0,15.0,22,1,14.153284671532846,0,34.150000000000006,18.65,0.0,19.0
105,Monaco Grand Prix,vettel,5.0,15,0,7.0,9,0,aston_martin,9,73.313,72.613,72.732,5.0,1.0,11.181818181818182,0.0454545454545454,12.0,22,1,8.984615384615385,0,22.9,14.15,0.35,69.5
117,Monaco Grand Prix,latifi,0.0,21,0,3.0,10,0,williams,19,74.403,74.403,74.403,15.0,1.0,15.208333333333334,0.0,15.333333333333334,24,1,13.03225806451613,0,22.9,14.15,0.35,69.5
122,Azerbaijan Grand Prix,vettel,13.0,14,0,15.0,9,0,aston_martin,9,103.279,103.268,103.091,2.0,3.0,11.130434782608695,0.0434782608695652,12.666666666666666,23,1,9.0,0,26.6,18.6,0.0,49.5
133,Azerbaijan Grand Prix,latifi,0.0,21,0,3.0,10,0,williams,18,105.367,105.367,105.367,16.0,2.0,15.2,0.0,15.0,25,1,13.0531914893617,0,26.6,18.6,0.0,49.5
135,Azerbaijan Grand Prix,mick_schumacher,0.0,19,0,15.0,8,0,haas,20,105.775,105.775,105.775,13.0,5.0,15.869565217391305,0.0,15.333333333333334,23,1,14.152173913043478,0,26.6,18.6,0.0,49.5
138,Canadian Grand Prix,vettel,13.0,14,0,16.0,8,0,aston_martin,16,94.512,94.512,94.512,0.0,0.0,10.916666666666666,0.0416666666666666,9.0,24,0,8.955223880597014,0,20.35,19.25,0.0,39.0
151,Canadian Grand Prix,latifi,0.0,21,0,3.0,10,0,williams,18,95.66,95.66,95.66,0.0,0.0,15.192307692307692,0.0,15.333333333333334,26,0,13.073684210526316,1,20.35,19.25,0.0,39.0
155,British Grand Prix,vettel,15.0,13,0,18.0,9,0,aston_martin,18,102.666,102.666,102.666,0.0,0.0,10.96,0.04,9.333333333333334,25,0,9.0,0,17.65,11.4,0.15,65.0
164,British Grand Prix,latifi,0.0,20,0,3.0,10,0,williams,10,101.998,103.273,123.095,14.0,2.0,15.22222222222222,0.0,15.333333333333334,27,1,13.104166666666666,0,17.65,11.4,0.15,65.0
