,race_date,driverId,raceId,year,round,circuitId,race_name,race_time,driverRef,driver_dob,driver_nationality,driverst_points,driverst_position,driverst_wins,constructorId,csr_points,csr_status,constructorStandingsId,css_points,css_position,css_wins,constructorRef,cs_nationality,result_number,result_grid,result_position,result_positionText,result_positionOrder,result_points,result_laps,result_time,result_milliseconds,result_fastestLap,result_rank,result_fastestLapTime,result_fastestLapSpeed,qs_number,position,q1,q2,q3,total_laps,avg_lap_time,num_pit_stops,avg_pit_duration,driver_circuit_avg_result_point_before_race,driver_circuit_avg_pitstops_before_race,driver_avg_finish_pos_prior,is_podium,driver_podium_rate_prior,is_win,driver_win_rate_prior,driver_avg_finish_last_3,driver_experience_races,driver_experience_at_circuit,constructor_avg_finish_prior,circuit_country_nationality,is_home_gp,avg_temp,avg_windspeed,avg_precip,avg_humidity
0,2022-03-20,1,1074,2022,1,3,Bahrain Grand Prix,15:00:00,hamilton,1985-01-07,British,15.0,3,0,131,27.0,\N,28134,27.0,2,0,mercedes,German,44,5,3,3,3,15.0,57,+9.675,5863259,53,5,1:36.228,202.469,44,5,1:32.285,1:31.048,1:31.238,57.0,102864.19298245614,3.0,25.525333333333332,,,2.0,1,1.0,0,0.0,2.0,21,1,2.761904761904762,Bahraini,0,26.299999999999997,25.55,0.0,20.5
1,2022-03-20,4,1074,2022,1,3,Bahrain Grand Prix,15:00:00,alonso,1981-07-29,Spanish,2.0,9,0,214,8.0,\N,28137,8.0,5,0,alpine,French,14,8,9,9,9,2.0,57,+22.390,5875974,44,10,1:36.733,201.412,14,8,1:32.346,1:31.621,1:32.195,57.0,103087.26315789473,3.0,24.927333333333333,,,10.0,0,0.0,0,0.0,10.0,20,0,9.05,Bahraini,0,26.299999999999997,25.55,0.0,20.5
2,2022-03-20,807,1074,2022,1,3,Bahrain Grand Prix,15:00:00,hulkenberg,1987-08-19,German,0.0,17,0,117,0.0,\N,28139,0.0,7,0,aston_martin,British,27,17,17,17,17,0.0,57,+1:03.829,5917413,49,19,1:38.201,198.401,27,17,1:32.777,\N,\N,57.0,103814.26315789473,3.0,26.608333333333334,,,,0,,0,,,0,0,9.225,Bahraini,0,26.299999999999997,25.55,0.0,20.5
3,2022-03-20,815,1074,2022,1,3,Bahrain Grand Prix,15:00:00,perez,1990-01-26,Mexican,0.0,18,0,9,0.0,\N,28142,0.0,10,0,red_bull,Austrian,11,4,18,18,18,0.0,56,\N,\N,52,4,1:36.089,202.762,11,4,1:32.311,1:31.008,1:30.921,56.0,102955.80357142857,3.0,24.721999999999998,,,11.0,0,0.0,0,0.0,11.0,20,1,6.6,Bahraini,0,26.299999999999997,25.55,0.0,20.5
4,2022-03-20,817,1074,2022,1,3,Bahrain Grand Prix,15:00:00,ricciardo,1989-07-01,Australian,0.0,14,0,1,0.0,\N,28141,0.0,9,0,mclaren,British,3,18,14,14,14,0.0,57,+54.975,5908559,50,16,1:37.261,200.318,3,18,1:32.945,\N,\N,57.0,103658.9298245614,3.0,24.979666666666663,,,6.0,0,0.0,0,0.0,6.0,21,1,8.095238095238095,Bahraini,0,26.299999999999997,25.55,0.0,20.5
5,2022-03-20,822,1074,2022,1,3,Bahrain Grand Prix,15:00:00,bottas,1989-08-28,Finnish,8.0,6,0,51,9.0,\N,28136,9.0,4,0,alfa,Swiss,77,6,6,6,6,8.0,57,+16.119,5869703,53,7,1:36.599,201.691,77,6,1:31.919,1:31.717,1:31.560,57.0,102977.24561403508,3.0,25.412333333333333,,,,0,,0,,,18,1,12.7,Bahraini,0,26.299999999999997,25.55,0.0,20.5
6,2022-03-20,825,1074,2022,1,3,Bahrain Grand Prix,15:00:00,kevin_magnussen,1992-10-05,Danish,10.0,5,0,210,10.0,\N,28135,10.0,3,0,haas,American,20,7,5,5,5,10.0,57,+14.754,5868338,53,8,1:36.623,201.641,20,7,1:31.955,1:31.461,1:31.808,57.0,102953.29824561403,3.0,25.801666666666666,,,,0,,0,,,0,0,12.476190476190476,Bahraini,0,26.299999999999997,25.55,0.0,20.5
7,2022-03-20,830,1074,2022,1,3,Bahrain Grand Prix,15:00:00,max_verstappen,1997-09-30,Dutch,0.0,19,0,9,0.0,\N,28142,0.0,10,0,red_bull,Austrian,1,2,19,19,19,0.0,54,\N,\N,51,2,1:35.440,204.140,1,2,1:31.785,1:30.757,1:30.681,54.0,103661.03703703704,3.0,24.745333333333335,,,1.0,0,1.0,0,1.0,1.0,19,1,4.98989898989899,Bahraini,0,26.299999999999997,25.55,0.0,20.5
8,2022-03-20,832,1074,2022,1,3,Bahrain Grand Prix,15:00:00,sainz,1994-09-01,Spanish,18.0,2,0,6,44.0,\N,28133,44.0,1,1,ferrari,Italian,55,3,2,2,2,18.0,57,+5.598,5859182,52,3,1:35.740,203.501,55,3,1:31.567,1:30.787,1:30.687,57.0,102792.66666666667,3.0,24.463666666666665,,,5.0,1,0.0,0,0.0,5.0,22,1,6.5,Bahraini,0,26.299999999999997,25.55,0.0,20.5
9,2022-03-20,839,1074,2022,1,3,Bahrain Grand Prix,15:00:00,ocon,1996-09-17,French,6.0,7,0,214,8.0,\N,28137,8.0,5,0,alpine,French,31,11,7,7,7,6.0,57,+19.423,5873007,53,14,1:37.110,200.630,31,11,1:32.041,1:31.782,\N,57.0,103035.21052631579,3.0,26.703333333333333,,,9.0,0,0.0,0,0.0,9.0,19,1,8.964285714285714,Bahraini,0,26.299999999999997,25.55,0.0,20.5
